cluster,neighbor,sil_width
1,4,0.4628458042925208
4,1,0.52684425537732
8,6,0.27273734354935225
6,2,0.45144172632592977
1,5,0.2563290204523882
5,7,0.49503861351882605
4,1,0.5447568117427801
7,8,0.17429809105577637
1,4,0.5302701995182788
4,1,0.13028200046952956
8,7,0.44052316369788724
8,5,0.302229867306872
4,1,0.581300725173924
8,6,0.30620562542913515
6,8,0.3173979722326422
1,4,0.5265659047546125
2,6,0.10431827831663631
4,1,0.6213339112214663
3,1,0.012096129202688408
8,6,0.540565548654896
4,1,0.22217240580887435
1,3,0.11102862830338557
1,3,0.3209834953665373
1,4,9.409436024029058e-4
1,3,0.2794305113655466
3,2,0.5872549084005099
8,6,0.5109250158127802
6,5,0.10503363258778303
8,6,0.4966195953244616
6,8,0.11160871885168457
6,8,0.23399906827329453
5,1,0.46422323563474005
6,8,0.07678987195090144
1,4,0.4499855870003713
5,8,0.3850315329377982
8,6,0.45842884611051427
1,5,0.5602074957021895
1,5,0.2975374419935428
8,6,0.24902467988675192
6,8,0.019351754823342324
3,4,0.12407282725526768
6,2,0.16966707486531016
5,8,0.3319702009156245
5,1,0.5529625927527781
6,8,0.001062898721527379
1,4,0.4468879256763517
2,6,0.09959893091424352
8,5,0.35831251870184594
8,6,0.5895773164221095
6,8,0.13311278073897556
5,8,0.5913257546621596
1,4,0.030298850999973453
3,1,0.4781060971085473
5,6,0.042411070583311054
1,4,0.2544518417173239
6,2,0.31218909646106674
5,1,0.12440117096614248
1,3,0.278796809216872
7,8,0.5138649160207721
8,6,0.3863470784934965
5,8,0.1069770379679882
6,8,0.3591224807507571
6,2,0.5189873821115859
5,8,0.37043170129537006
6,8,0.15142564887928353
4,1,0.5594656963742043
8,6,0.13363529653380263
6,8,0.030911867317715832
6,8,0.5376291414719738
5,3,0.5929553145398941
8,6,0.13220057594634635
8,6,0.20733959028062793
5,7,0.4321897284901382
6,8,0.2709912601798374
8,6,0.09222826298847568
1,4,0.5234679142723562
5,2,0.13815824722410935
8,6,0.4356768763963007
2,6,0.2979045127553902
2,6,0.04625585695088242
6,8,0.17961593362540831
5,7,0.4919969321682915
1,4,0.39823531271519386
4,1,0.5191660759701449
8,7,0.5844163054470555
1,4,-0.06110827961352093
8,7,0.5286205448322454
6,8,0.029595621320136004
6,8,0.1821054724338338
5,3,0.4408502911622645
6,8,0.14596974868389184
8,5,0.23655916389494358
7,5,0.20154351982537158
7,8,0.12590123712776055
1,5,0.27278345415789756
5,3,0.2622071113716002
3,4,0.3693086575731186
6,2,0.2340064596272972
3,4,0.5276094571585482
8,6,0.542054954366167
1,3,0.20828128002105956
6,2,0.14231776184810255
6,8,0.18560660728056078
2,5,0.23044656709673872
6,8,0.10277756124322249
8,6,0.5583511825987418
6,8,0.2639213398132952
6,2,0.5674129796240167
1,4,0.11133195664731416
4,3,0.37831234522913343
3,1,0.06973428292006073
6,8,0.4231749334694579
8,7,0.3003630538616473
4,1,0.494499926642044
6,8,0.13454298696086184
8,6,0.5233245771517447
5,8,0.08855579286324285
6,5,0.04090372502282609
6,2,0.5565255870863942
1,4,0.11183781716142083
6,2,0.4960576953563491
8,6,0.16981653478674227
5,3,0.4722263995304792
6,8,0.42303379138524344
6,8,0.540137768804007
1,3,0.050257399477881666
3,5,0.20262553095619062
6,2,0.33726546412731123
2,6,0.291989949455687
1,5,0.2801144901917902
6,2,0.543530544204851
7,5,0.2514391160430436
5,7,0.0795648765655102
6,8,0.44679021690750864
1,4,0.31909033193863595
4,1,0.08126708152742246
4,1,0.14338674513607313
6,8,0.20866685099162968
6,2,0.3880572899503199
5,2,0.27303063415470213
3,1,0.1376773625934118
5,7,0.4034073289810671
6,8,0.44414619111341014
4,1,0.6061591060222344
8,6,0.1667131957752816
6,8,0.008054866710160464
4,1,0.38128412944296713
8,5,0.2094680646719909
5,2,0.25408263824045196
6,8,0.5627144113809762
8,7,0.16856161779983622
6,8,0.04554500194237404
8,7,0.24166245253455354
6,8,-0.023925762194738347
6,8,0.15022895500748668
7,8,0.5108315497590574
5,8,0.020209684933246007
2,6,0.23435173578269744
8,6,0.11442197062470721
8,5,0.1655913162678066
5,8,0.6010118003064976
1,3,0.24883918014746942
5,7,0.14700990290052746
5,7,0.49207045828462237
8,5,0.5507100378378619
2,6,0.27434703121656007
5,1,0.33826829655241303
7,5,0.19349557448931096
3,5,0.09930189038589973
8,7,0.5735899736243347
5,8,0.3856029534722441
8,7,0.48348907586284046
5,3,0.5435437286158709
5,7,0.47973378745325806
5,7,0.20775923650803232
5,1,0.0356964079869239
5,7,0.2582753144872973
2,5,0.0993631568815863
1,4,0.025834115314053586
5,7,0.38329913407230126
6,8,0.2149177041823117
6,2,0.31207210460427287
1,4,0.5195780922075296
6,8,0.1650677193292354
5,3,0.22642465636743922
8,6,0.1643769323528508
5,3,0.007896146773004084
8,7,0.45419189242631747
6,8,0.2947497177108981
1,5,0.27224411473271215
2,6,0.2949144282063097
8,5,0.1305658232398281
1,4,0.5722343848946069
2,6,0.49674820234823813
6,8,0.2709951536827206
5,2,0.4000201879602419
6,2,0.4821936017836811
3,5,0.1822019382335192
6,8,0.04314982107343164
8,6,0.47092260588182144
6,8,0.4846289026691008
1,5,0.40326083692195913
6,8,0.15908964455982036
6,8,0.4727745194950365
1,4,0.272655023169639
1,5,0.2814904470225144
3,4,0.37622320636028445
3,5,0.42733667856121144
6,2,0.2120457965701209
8,6,0.4838346717303252
6,8,0.27053067038928374
6,8,0.20448272084404726
8,6,0.2726031476352645
1,4,0.3746211655791714
3,2,0.27063862328880445
7,5,0.20389802577822977
3,4,0.3146385589715158
1,4,0.45775910083985594
3,4,0.03386999701558581
1,4,0.4662016061771102
3,4,0.48631766890253303
8,6,0.45093197171695676
6,8,0.24162880509063675
1,5,0.5539923457039441
7,5,0.20103763726986218
6,8,-0.020866667629728126
5,7,0.5821689967572282
5,3,0.4728036743555393
6,8,0.41670256544828654
8,5,0.0205345910018915
8,6,0.4973304425185466
7,8,0.307562347933727
8,5,0.2978785446021068
6,8,0.4340421641894034
6,8,0.4236448089007425
5,8,0.4491899032187273
6,8,0.5499427325119114
2,6,0.4131867191486472
8,6,0.22681228745275395
4,1,0.1983493756009936
6,8,0.16274195370599484
6,8,0.12239620939737739
8,6,0.1553702459555977
3,5,0.1681276452061211
2,6,0.13155275738641245
4,1,0.5861468095261944
6,8,-3.7041359005744436e-4
1,4,0.5079464632026893
5,7,0.32089496615962826
8,6,0.5576146653400134
6,8,0.3170583679131647
8,6,0.4797419843094904
8,6,0.6038700656658417
3,4,0.6039397254673057
1,3,0.06428597690404965
8,6,0.5147410487445717
5,1,0.49724864452357015
6,8,0.5664460075401494
6,2,0.5433634741556412
6,8,0.4213065831697376
8,6,0.25014721348417546
4,1,0.5335481665181757
5,8,0.4891634325448243
8,5,0.08536232896844648
8,6,0.08417232828092477
5,8,0.3071684269784462
3,1,0.06102700448411134
5,8,0.07955256353642563
4,3,0.5038043104443672
1,4,0.47835389856535854
3,2,0.31544451870975176
5,1,0.18445812422994975
8,5,0.2221467800513584
1,5,0.40675725954286485
3,1,0.2851301388364055
6,8,0.24211091142481847
6,8,0.3699087388481428
6,8,0.3579230114246585
6,2,0.00949413530676939
3,2,0.48956890135794295
8,6,0.4275806703938049
4,1,0.6131032260768252
1,4,0.46120416888092786
3,1,0.16599421312028698
1,4,0.4844463793941169
5,8,0.03941576841329236
5,1,0.1386806659723061
8,6,0.035423867084372146
6,8,0.24937654017768268
1,4,0.4489299215180545
6,8,0.1681716555358374
5,2,0.2705936231000279
5,8,0.0696018471170482
6,2,0.46622845492087717
6,8,0.17385582915724163
8,6,0.39870467980021496
6,8,0.07899032115018179
6,2,0.17664640775414212
6,8,0.31593348761159984
3,2,0.20684040945618054
5,7,0.11004363977975444
5,7,0.13093458490311832
6,2,0.5441046461493544
5,7,0.15760645849736574
8,6,0.44470832768597857
6,8,0.4315127009755795
8,6,0.09659456159340792
6,8,0.2895479578277402
4,1,0.5158967240692127
1,5,0.3663433676187996
2,6,0.5452592044063757
8,6,0.47345997933108447
6,2,0.15398153049645646
1,4,0.2147257058941108
8,7,0.05020608962558645
5,8,0.2681869435376583
7,8,0.4647581742538663
6,8,0.39322023923443833
6,2,0.3043854227484851
1,4,0.11651206889621177
1,5,0.20431233180490904
8,7,0.26255629781289497
5,2,0.2731763649318787
6,2,0.5695468130946526
8,6,0.09270957282488322
1,4,0.1671727014443517
5,7,0.45457071221279244
5,3,0.2503296676911651
6,8,0.18607457538387867
7,8,0.4595595766027048
6,8,0.3581225302510662
8,6,0.07359497149437431
4,1,0.24679267585467998
1,4,0.4999530079254388
5,8,0.05895393016984355
8,6,0.31877928992824334
5,3,0.44365191050261027
5,8,0.4200159286695554
6,2,0.22650295331296394
6,2,0.12248494988386698
8,6,0.11906903991488424
6,8,-0.02472151514836336
3,1,0.05467181225658878
7,5,0.2068524063065577
6,8,0.4248057490732592
7,8,0.1742960897211924
6,2,0.44285702234191326
3,1,0.08857555340907444
8,5,0.5178761791666555
8,5,0.3459379975845953
6,8,0.03116095697124103
3,4,0.17351190259154997
7,5,0.23040280466296076
5,1,0.5851053724270653
7,8,0.3244446403475081
7,5,0.1776183239281714
1,5,0.37742112433374797
1,3,0.1966113325222694
5,7,0.46129466464693125
6,2,0.521703756589772
1,5,0.3249430114963621
6,8,0.29313707366741354
1,5,0.32533049427337163
8,7,0.5052140100826438
6,2,0.5307146282164431
6,8,0.05986913837027242
6,8,0.4330368869984173
7,8,0.12630396243648587
6,2,0.3412581798228929
8,5,0.39875096901983575
5,3,0.5040922971691644
2,5,0.010796997386538236
6,8,0.01895118763559644
6,8,0.2793226168354441
8,6,0.05070285133483899
8,6,0.03218204650668225
6,8,0.008661176087892446
8,5,0.2727376958110299
1,4,0.35161160779598877
6,8,0.24501164926366512
5,8,0.15455210773926464
1,4,0.17636965372900143
8,6,0.09362288398792291
1,4,0.5096879803230935
6,8,0.023914684905011398
1,5,0.3818874193988731
1,4,0.45908850358358916
1,4,0.4614482766095347
8,5,0.3360661533511786
3,5,0.1500515806546798
5,3,0.48707224247850534
1,4,0.49083706844008473
1,4,0.5168299675975044
1,4,0.346131085406264
1,4,0.5537337711912658
3,5,0.4288963829357932
6,8,0.22157974197736327
8,6,0.1990860540590926
5,8,0.15276819237156183
5,2,0.11765403463532209
1,4,0.5667610927407136
8,6,0.5640756192956212
7,8,0.17429588078514663
5,7,0.2723741408108384
6,8,-0.02302327911286383
2,6,0.06644275343351864
6,8,0.14146027530153077
5,2,0.2461389743608572
3,4,0.39012255145179286
5,2,0.2747647779520865
8,7,0.4483249035690675
8,6,0.17629056272808008
3,4,0.3569166605038279
3,5,0.16778480060056045
8,5,0.08238598408695283
8,5,0.07703515083249511
5,1,0.5428952896091628
6,8,0.44406638943882537
5,3,0.027727255674384124
6,8,0.4055957663913306
7,8,0.1948996426354968
8,7,0.5854093495547443
6,8,0.3075517700314341
