doc_id,nonzero_terms,max_tfidf,mean_tfidf
303,67,0.17895745538033983,0.0015804235121071645
304,46,0.5189402552759141,0.0019425285841066457
305,83,0.21146491914314602,0.0014883555691472107
306,63,0.20798044667122673,0.0016068365679840705
307,119,0.1211356435841811,0.0015445799379089505
308,71,0.2699093771775424,0.0015995684765692842
309,73,0.1709039629748228,0.0015694538604874486
310,89,0.22201458761906828,0.0014109851449117783
311,89,0.17356214027480726,0.0016884171396420568
312,77,0.4520140631883897,0.001667334421567786
313,63,0.22079528883053184,0.001506404223996407
314,70,0.22008402598759813,0.0016464642751717854
315,71,0.16010289189527005,0.0015989223973679255
316,70,0.27424279728262985,0.0015035173698533136
317,126,0.13751320811275056,0.0016272461922808863
318,97,0.26984716511666873,0.0016292831357429462
319,60,0.34192352613053584,0.0018029377093821957
320,62,0.26944074589035755,0.0016483960569861037
321,52,0.22361151392163317,0.001406233768175553
322,48,0.48113135465447965,0.00150385214384979
323,63,0.2423761469668738,0.0016714757439929187
324,59,0.234960250350284,0.0017416723872954627
325,105,0.17496182800000534,0.0018976904662415827
326,79,0.37808504312959457,0.001722784443578935
327,129,0.241808097778955,0.0017487098945781457
328,87,0.32396368625374444,0.0017751855675865412
329,76,0.2049683041079775,0.001761964463271995
330,67,0.2880293550444244,0.0014561682918583416
331,60,0.2938725430402762,0.0017355008645245943
332,78,0.29420092252511265,0.0016719715529559093
333,70,0.2573193709481336,0.0015098296296074149
334,87,0.3590114415597311,0.0017833652296969991
335,14,0.3841571960743139,0.001599705356586312
336,72,0.2500109657391605,0.0016580334015612642
337,56,0.41004886362849685,0.0013011726600110085
338,57,0.215643083359094,0.0015110522381409314
339,95,0.4494970422306091,0.0015607598970949622
340,58,0.16348031065257773,0.0015481595197513898
341,70,0.1099017684390173,0.0015414446801337422
342,54,0.2528257170012441,0.0016901089555617379
343,81,0.3036738897853017,0.0016693716431232088
344,89,0.14375435715948545,0.001395231324652343
345,98,0.19468162047423115,0.0014338642461956181
346,81,0.13106125247237124,0.0013250285262680322
347,120,0.1496146202693452,0.0015874031069048997
348,2,2.1898980144296543,0.0017024370339170742
349,90,0.17744732640251132,0.0018378902053726592
350,65,0.20150460165860332,0.0017334395616709925
351,97,0.12769378156427258,0.0014670869798176886
352,76,0.3004396827811793,0.0017629022964593202
353,63,0.37035629942664955,0.0015900897725586733
354,110,0.22198222963284286,0.0016294202492507254
355,69,0.23582061829831422,0.0014582143288836395
356,65,0.3327637845916774,0.001536876547393357
357,73,0.1483562584831991,0.001452545989351184
358,105,0.12780123373265703,0.001655882448669827
359,102,0.13503037254628375,0.0018056002537187703
360,118,0.1253884568910393,0.0016910065459311645
361,62,0.26493117571815106,0.001338438777140615
362,91,0.2132203219076904,0.0017286535497820711
363,86,0.21773682141306464,0.0016441292478281164
364,93,0.2767333304610593,0.0018122041615257372
365,57,0.3941089858776839,0.0017656635601572138
366,92,0.16370919547825058,0.0015607761552283318
367,96,0.11786846409664334,0.0016405028895420859
368,93,0.2171141130546923,0.0014717712549825366
369,95,0.19860469128050903,0.0013675108635644835
370,90,0.21157235200670466,0.0015940706660969796
371,57,0.3514639960709724,0.001769774033705788
372,86,0.20922089599533886,0.0016292173387808034
373,84,0.12411519990494857,0.001318948150252602
374,2,2.1898980144296543,0.0017024370339170742
375,64,0.27762750178076795,0.0016922066732337902
376,53,0.2039820641325328,0.0016687375809836572
377,112,0.12199222419780734,0.0015560790841781598
378,73,0.13568782273053825,0.0015773438254473994
379,112,0.16529338891039402,0.001785335374917038
380,118,0.25145480508240486,0.0018135940750664001
381,60,0.17436144546974458,0.0016413293022679613
382,88,0.15121439177271442,0.0014400056326676397
383,115,0.11913784049815965,0.0016565463681598995
384,95,0.3805826240003851,0.0018561499304825626
385,39,0.24626657873109714,0.0013751479423793863
386,64,0.187995088034314,0.0015916627358894644
387,2,2.1898980144296543,0.0017024370339170742
388,98,0.19008538418849502,0.001719048552427147
389,99,0.10268124922896321,0.001821611541372943
390,83,0.2376033172946085,0.001423620166866586
391,110,0.185134757675814,0.0015291505732576143
392,78,0.2789634671973789,0.0016230993080634975
393,65,0.1799463476586781,0.0015350724365169371
394,53,0.1356820201345714,0.0016357746245037844
395,47,0.2715252620948497,0.0014492031113824987
396,84,0.17659114692252287,0.0016642702340440845
397,63,0.16598748840449062,0.0016183384532526233
398,101,0.18934654022892303,0.0016812797120235492
399,76,0.18502982022287914,0.0013889829475862306
400,48,0.2258282192178772,0.001587724447166049
401,77,0.17186915250749424,0.0016268889837325223
402,76,0.1410109082160948,0.001585717517159689
403,62,0.2658966833130714,0.0014783505393535245
404,99,0.1395569376442101,0.0016528034000130437
405,73,0.19731473545281367,0.0015394633728049176
406,66,0.22815474595734742,0.0017735853208108766
407,70,0.21190206205951997,0.0016431684388627074
408,99,0.2050723469639786,0.0016608596423356827
409,73,0.26758395640524507,0.0016580109302680157
410,58,0.29922944971034554,0.0013786726970332192
411,58,0.1593661872258295,0.0017607208201775833
412,79,0.24307829441336998,0.0017141798803363324
413,90,0.1642575227760657,0.0017480719485056062
414,56,0.2234049633543428,0.0015797667484657807
415,99,0.21413069246221686,0.0015921306011505412
416,49,0.2615547147038449,0.001247189828084689
417,72,0.4247169042529262,0.0017561166878972774
418,106,0.21997215801221795,0.001531877090347802
419,120,0.1640782596799865,0.0015391185280997923
420,101,0.1269017405877554,0.0014744527210335948
421,69,0.3168247040465929,0.0014378541587674787
422,100,0.1704294802300207,0.0014852727636062747
423,72,0.44669426358593783,0.0016284039891147615
424,44,0.4255612869605105,0.0017301516951654164
425,81,0.16738885861108607,0.0017271663676842132
426,95,0.22904854790250118,0.0015395304342587205
427,71,0.10648883417401692,0.001592974590915805
428,103,0.18356132958618962,0.0014821404126883553
429,115,0.23595337093461333,0.0018046106203786565
430,73,0.17615410391364283,0.0014490539182777892
431,52,0.16579670287730272,0.0015170326923407227
432,63,0.23696781364272104,0.0016909463962697419
433,85,0.2858036004144222,0.0016246671722009425
434,56,0.2972671987251293,0.0015921160473048332
