doc_id,UMAP1,UMAP2,cluster_kmeans,cluster_hdbscan
172,-0.671106194587962,-0.8282879367754836,2,3
173,2.4124119528806047,-1.4188575521395583,7,3
174,2.3585829981839495,0.20649679747363137,1,3
175,-3.0824217549288435,-2.490653492538728,5,3
176,3.0549102076566057,2.205296896369658,1,3
177,3.238061214355214,4.916808627517424,6,3
178,-0.392513995500819,-1.9241394773409743,2,3
179,4.518193031219228,-2.1136667505190747,7,3
180,0.49756350603459665,-3.496101833908357,4,3
181,0.586476767925008,-7.047899223892488,4,3
182,1.2642289647137959,0.7411747798039536,1,3
183,-1.7137510529482525,-3.6559633985445874,5,3
184,1.6139282235181172,-4.426008202163972,4,3
185,2.0758970030820207,7.731980346114836,6,3
186,0.33377715435384103,6.514893077285491,6,3
187,-2.0968935242617293,2.820358775527678,8,3
188,3.687314773467763,0.16606160250445412,7,3
189,2.9924829253232317,-0.8492545858309646,7,3
190,3.4970736750638323,-3.401218391983308,7,3
191,3.0972843417203264,-3.012144543258943,7,3
192,3.104758287338002,-2.9906029477999585,7,3
193,2.884559417632802,-4.224247433273591,4,3
194,3.5665467032468157,6.781723998458586,6,1
195,-0.8055187216723125,2.2931757196499927,1,3
196,2.3276365050351457,-0.650210596649446,7,3
197,2.269339586166127,-4.728765942184724,4,3
198,3.550526166824086,6.820047400863372,6,1
199,3.7783899554288225,-3.3575777784274,7,3
200,0.6785260685956318,5.658695243270598,6,3
201,1.2533514746701557,-4.415073372452058,4,3
202,0.6472186097180683,-5.019453980057039,4,3
203,3.539990211395009,6.820967219741545,6,1
204,2.876352334884389,-6.196671940414705,4,3
205,3.710249925521596,6.53840782490512,6,1
206,1.131854558852895,0.6543535515381913,1,3
207,0.7211276539838154,6.843353770644866,6,3
208,-0.1201868406260174,-1.7456269040987868,2,3
209,3.146104837325795,-6.049362160293855,4,3
210,-2.8641171208346052,6.429513953597747,8,3
211,1.768913770583852,-0.33744535598019554,2,3
212,0.7250750311887104,-5.318911530105867,4,3
213,2.1540773161923723,-1.6774925962374587,7,3
214,3.3381827124631243,-6.342431522934236,4,3
215,-1.880414580436961,1.0000281631662469,3,3
216,1.9141602763211567,4.299741052062712,6,3
217,-0.5330442241156261,2.5995130762173755,1,3
218,-1.0840625515902202,-0.44906745108822776,2,3
219,-1.7236866703951519,-2.5609321371004956,5,3
220,2.6989057311093645,-5.409411884872712,4,3
221,-1.2616996518099468,-1.5655622259066482,2,3
222,-0.5181061378443401,-4.8858923688815015,4,3
223,0.9811431416547138,-3.435987450210847,4,3
224,1.7822259911572773,-3.536469437210359,4,3
225,2.8100035437619524,-0.682859636871614,7,3
226,2.454170013335927,-1.9424557462618728,7,3
227,2.0091140517270403,-1.5832206979678054,2,3
228,4.593657279876455,-1.8772415891573806,7,3
229,0.3701800951039631,-4.283837772934236,4,3
230,3.1784703978574114,-1.7838866487429519,7,3
231,-1.2257793894732159,0.4917803629948716,3,3
232,3.623763347533925,6.74628021565219,6,1
233,1.6740299710309345,-4.319774605362214,4,3
234,-0.09058247271420175,-5.817842461197175,4,3
235,0.790216649440511,-5.512942768661775,4,3
236,1.437409306434377,-6.906745888321199,4,3
237,2.85826971617101,-1.14523384722928,7,3
238,-1.6564275971377056,1.8749631270482163,3,3
239,-3.4892229786837263,5.682989142806731,8,3
240,-3.513878559204356,5.686901114852629,8,3
241,-3.4784764996493025,5.742680095107756,8,3
242,4.088883663085683,-1.9190790429995437,7,3
243,3.4819071539914446,-2.2705576196596997,7,3
244,2.544969583419545,-3.144520737259187,7,3
245,-1.4716453305208843,-3.813965775100984,5,3
246,2.7711994895016985,-0.6685136333392043,7,3
247,-1.7930298796618145,3.526135466964446,8,3
248,1.1493426808392841,-1.7425057664797683,2,3
249,2.3186033019101457,-0.45627639445523216,2,3
250,2.620798612502797,-1.0456294790194411,7,3
251,-2.2748608342135115,-2.1557969823763745,5,3
252,2.713949228194936,-2.538140751449861,7,3
