term,doc_freq,mean_tfidf
area,649,0.0027183273718116717
whereas,777,0.002712246244262079
address,731,0.002708475460715337
delivery,372,0.002702943769300701
damage,457,0.0026917139908611758
investigate,744,0.0026897706951609294
cellular,466,0.0026838245561461144
secondary,692,0.002681241666855455
structural,489,0.002677989610724018
postoperative,318,0.0026617479703510863
enable,634,0.002654105050261839
pathological,529,0.002651954216816749
phenotype,469,0.0026491253889667785
poor,531,0.0026348413593198995
regulate,500,0.002633032731695871
impair,603,0.0026327834848332153
parameter,519,0.0026286264067685917
barrier,488,0.0026249962130590054
bind,320,0.002620034840802054
stimulation,313,0.002617107678502713
recent,617,0.0026078855281002782
auc,356,0.0026061621266521076
memory,346,0.002603477429740353
specific,660,0.002600352342246024
essential,670,0.0025963171350455345
cvd,134,0.002587255686545002
retrospective,815,0.0025771938069146256
duration,465,0.0025756843997808893
have,265,0.002570709069346351
medication,380,0.0025666376208367753
detect,529,0.002560268850794128
normal,456,0.0025602050762379208
validate,673,0.0025592193738872508
breast,183,0.002553311827046601
predictor,493,0.00254592147906015
practice,540,0.0025452573825116708
mass,488,0.0025331635904769175
drive,595,0.002531564179596761
determine,695,0.0025307475537081885
application,522,0.002529103853644826
inhibit,391,0.0025189404021513672
strong,666,0.0025136105278359398
per,457,0.0025020538694615567
accuracy,440,0.0024984776651081546
history,413,0.00249487128943421
odd,462,0.0024945436790775083
comorbidity,384,0.002493480993981028
distinct,557,0.0024918117075948217
aortic,165,0.0024840172510833727
unclear,694,0.0024787806402119094
prognostic,364,0.0024732279267460295
neuroinflammation,368,0.0024653627767518365
complete,595,0.0024636821396878564
csf,155,0.002452337808363257
positive,539,0.002448904839145143
longitudinal,497,0.002448808594096146
exercise,204,0.0024461390080010846
oral,315,0.0024446331114646256
describe,497,0.0024421337717001326
interval,604,0.002436783305406462
modulate,516,0.002430736405672411
program,389,0.002428418311843243
propose,493,0.002426433962961728
consider,590,0.0024230121735646475
amyloid,249,0.0024205214014564173
insight,605,0.0024169626280255954
lung,253,0.00241570162088109
pregnancy,194,0.0024137906999503835
alteration,461,0.0024130130882040663
allcause,271,0.0024064137645473504
ferroptosis,112,0.0024008249171743852
standard,549,0.0023998870556961394
method,524,0.0023982960302400174
physical,391,0.0023804698722311745
systematic,556,0.0023793142935738852
comprehensive,636,0.0023709428618914675
component,472,0.0023709096753793926
combination,381,0.0023688380299850286
myocardial,356,0.002367339019567629
family,308,0.002366745193246362
phase,379,0.002362158178596517
hazard,422,0.002356656001125086
predictive,419,0.002346708922113422
protocol,404,0.0023400988777771965
logistic,611,0.0023400086924041785
importance,547,0.0023369218143579856
recovery,373,0.0023362805833606975
work,465,0.002334907642377186
negative,463,0.002334690035549333
randomize,509,0.002327070634754287
technique,411,0.0023231011713133005
consistent,594,0.0023227746652301788
clinically,561,0.002322581563162187
various,494,0.0023150940826731797
peripheral,336,0.0023123168724198976
prediction,366,0.002310484689989377
variable,520,0.002307278768492702
four,554,0.002287734841976097
balance,351,0.0022856155071459858
subgroup,463,0.0022836797530898026
progressive,532,0.002282551117905734
ckd,108,0.0022797867561943023
curve,424,0.002279705669967293
social,270,0.0022730674203703927
growth,363,0.002272885500580673
dataset,353,0.002268016513036425
biological,438,0.002265877087996224
rehabilitation,245,0.002261891231037534
man,330,0.002253303541314992
mechanistic,478,0.0022478969515139667
versus,408,0.0022451597001025944
underscore,606,0.002244778657141145
agent,398,0.002242805741829537
criterion,539,0.00223861229313178
furthermore,550,0.002238355473309682
subtype,273,0.0022329354109592633
apply,582,0.002225385862697961
axis,348,0.0022197499092299197
lack,535,0.0022119773568780505
information,443,0.0022100292906390502
record,556,0.0022095132832024972
domain,350,0.0022091305986194154
yearold,380,0.0022090325831149193
antibody,221,0.0022061230576163027
regulation,448,0.0022039867140106295
play,509,0.0022011253695912564
αsyn,70,0.0022000200710027193
database,589,0.002193945854553578
numb,441,0.002191779269071936
pathogenesis,416,0.0021892881970298813
form,424,0.002182976940325001
important,503,0.0021745896833867584
concentration,297,0.002172079394029207
set,424,0.0021719844322482503
accumulation,358,0.0021694051533394337
size,438,0.0021686183378099837
behavior,319,0.0021683488873703947
dna,211,0.0021612626205694766
dopaminergic,263,0.0021583662039057643
period,468,0.0021578475303173717
